ID,input,output
TRAIN_00000,별 한 게토 았깝땀. 왜 싸람듯릭 펼 1캐를 쥰눈징 컥꺾폰 싸람믐롯섞 맒록 섧멍핥쟈닐 탯끎룐눈 녀뮤 퀼교... 야뭍툰 둠 변 닺씨 깍낄 싫훈 굣. 깸삥읊 20여 년 댜녁뵨 곧 중 쩨윌 귑푼 낙팠떤 곶.,별 한 개도 아깝다. 왜 사람들이 별 1개를 주는지 겪어본 사람으로서 말로 설명하자니 댓글로는 너무 길고... 아무튼 두 번 다시 가길 싫은 곳. 캠핑을 20여 년 다녀본 곳 중 제일 기분 나빴던 곳.
TRAIN_00001,잚많 쟉꼬 갉 태 좋눼욥. 차못동 줆 ㅋ,잠만 자고 갈 때 좋네요. 잠옷도 줌 ㅋ
TRAIN_00002,절테 간면 않 된는 굣 멥몫,절대 가면 안 되는 곳 메모
TRAIN_00003,야... 칵컥 좋꾜 부됴 뼝 뚫렷썹 신원햐쥠만 닮패 넴센 밌쪄벅림. 샥퀘 핥류만 묵겠댜! 한눈 쌀람한뗌많 쭈쳔. 탐패 냄쌕갊 묘둔 쟝졈울 까저갼눈 콧. 놂랙팡엣셔 칵좋 닮패왕 윳흥예 천렸욹 택 냐눈 넴쌘갸 꼐쏙 방웨 잊슴 ㅆ... 샨닉깎 할 맑 엽숨.,아... 가격 좋고 뷰도 뻥 뚫려서 시원하지만 담배 냄새 미쳐버림. 싸게 하루만 묵겠다! 하는 사람한테만 추천. 담배 냄새가 모든 장점을 가져가는 곳. 노래방에서 각종 담배와 유흥에 쩔었을 때 나는 냄새가 계속 방에 있음 ㅆ... 싸니까 할 말 없음.
TRAIN_00004,집윈 축쳐눌료 딴너왓눈뎁 카셩뷔 좋곱 칼쿰한네올. 쩌럼한뒈 뮬콰 욺료토 잊쿄 빻토 않추 탸툿했숲뉘닫. 휜닉쑵퍅끄왐 걸뤼툐 멂쥐 안았셔 좋앝쿄욥. 뱌룡 옆뻬 뼈뉘쩜믿 윗썰써 펀리헷숲닢댜. 따움엘토 읾옹할 쑤 있쓺먼 읾옹핥꼽 십넹욘. 예얌끼 여렵쮜만 ^^,지인 추천으로 다녀왔는데 가성비 좋고 깔끔하네요. 저렴한데 물과 음료도 있고 방도 아주 따뜻했습니다. 휘닉스파크와 거리도 멀지 않아서 좋았고요. 바로 옆에 편의점이 있어서 편리했습니다. 다음에도 이용할 수 있으면 이용하고 싶네요. 예약이 어렵지만 ^^
TRAIN_00005,펀냔휜 잘 쉭곶 왔쑵닝따. 준윙에 맏쥡됴 만학썩 좋흖 겼 갇따용.,편안히 잘 쉬고 왔습니다. 주위에 맛집도 많아서 좋은 것 같아요.
TRAIN_00006,"쓰윔튿룸위 깝써칙갖 있네 ㅋ 꼭굽 췸규웨 낑펙투, 합뻔퓨 옥쪽, 캬뻬 깥은 띰 떼잎블, 녈븐 쇼팥예 커실, 부, 넹쟝코, 쫏쉭닿깝쥐 묘둔 궤 완벅캤닯.","스위트룸의 값어치가 있네 ㅋ 고급 침구에 킹베드, 하버뷰 욕조, 카페 같은 티 테이블, 넓은 소파에 거실, 뷰, 냉장고, 조식당까지 모든 게 완벽했다."
TRAIN_00007,쨉빵뮨 의싸 쩐허 없쓺. 씬랏슬톄잎뾰댜 떠 짝음. 홈뗄 줄찾짱 15땜만 캉눙. 혹텔 1읾 쥬짜 옥굶 2많 원. 댜룬 윱로 쭈짰챵토 2만 언. 홍텔 냠찍언 뷸췬쩔.,재방문 의사 전혀 없음. 신라스테이보다 더 작음. 호텔 주차장 15대만 가능. 호텔 1일 주차 요금 2만 원. 다른 유료 주차장도 2만 원. 호텔 남직원 불친절.
TRAIN_00008,념묵 멎쥑교 꽁귀 좋습니닸. 췐곡윕뉘댜!,너무 멋지고 공기 좋습니다. 최고입니다!
TRAIN_00009,"짱졈: 쩡켤함, 츄챠 씨셜 죠흠, 쉼섦 좋음.   단젊: 줏짢 츌짜할 떼 뷸뻔함, 룸 섶피쓰 엾음, 줏편에 뭘갖 엎섞셔 샤려 갹귀 뷸펀함, 헤탕 충예 뭐까 잇눈쥐 엉언룟 셔 있얾 뷸편함, 좇식잎 섕갹뵤댜 벌롤읾.","장점: 청결함, 주차 시설 좋음, 시설 좋음.   단점: 주차 출차할 때 불편함, 룸 서비스 없음, 주변에 뭐가 없어서 사러 가기 불편함, 해당 층에 뭐가 있는지 영어로 써 있어 불편함, 조식이 생각보다 별로임."
